label	sentence	w_index
0	"The struggle therefore went on to keep the Unionist press alive, and in 1912 and 1913 both Aitken and Northcliffe stood by the party and gave valuable support in their papers."	1
0	"He started by writing occasional articles but in 1939 he wrote The State of Music, a trenchant and provocative analysis of the organization of the musical profession at the time."	22
0	"Zinc is the latest example: lack of it supposedly causes a range of problems, although little scientific evidence supports the connection"	19
0	"While Elle, Vogue and subsequently The Independent( Fig. 5), stressed different aspects of Kahlo's public persona, they all shared the emphasis on her, as an embodiment of stereotypical images of Mexico, rather than her work."	11
0	"'One of the most beautiful things done by the painters of this country has been the depiction of black which nevertheless has light in it,' Vincent had written from Holland."	23
0	The essays in this book do not amount to a programme: but they are intended to provide a basis for one.	18
0	Properties continued to perform well as British Land produced a complicated scheme to release the value of its property portfolio	18
0	"This not only provides adaptability in the use of workers, it also improves communication."	4
0	"The faces of the twins, softer likenesses of her own, turned towards her questioningly then broke into shy smiles."	6
0	"Meanwhile, in many parts of the country, a problem as old as cities themselves tension between cultural groups, between earlier immigrants and newer ones, between black, brown, and white, and( increasingly) between large groups of urban youth and the police came to be identified as the key inner-city challenge."	33
0	Not for nothing were such power stations described as brick buildings Bankside is the finest manifestation of this tradition.	10
0	"Here's us, heading for trouble and God knows what else, and in the midst of you talking about Nordhausen, I start thinking of Peter."	13
0	"As noted above, the work of Fedra( 1989) is a major contribution in this direction, and links need to be established between initiatives in the UK and the rest of Europe."	11
0	"The sale of most of the lossmaking tyre distribution business to Sumitomo, now also a minority shareholder in the only British-controlled tyremaker's facility, gives the board confidence in some improvement this year, despite a poor immediate outlook for the motor producers."	36
0	They had weathered Bridgend's early attack conceding a try before coming back with some confidence to score three of their own.	5
0	"His plans in failure he is now reduced, Micawber-like, to hoping something will turn up before his players face the New Zealand team in five short weeks."	3
0	will sit there critic said I can't believe they put this rubbish on terrible.	3
0	"Why, though, could these supposed championship contenders not have tried to emulate the fine passing that had characterized the previous weekend's Merseyside match"	22
0	PUB ROCK/ Small-scale rock n musicians Jim White selects the best of the London pub venues and gigs in the weeks ahead	5
0	"Like Vincent, although he was unaware that Vincent had remarked on it, he had a Northern mindset and responded biologically and spiritually to shades of black, donkey-brown, varied greys, touches of white in dark."	22
0	These influences laid the basis for the blend of the naive and the sophisticated which is the characteristic of Thomson's maturity.	4
0	"It is devoted instead to the worship of the charitable Rytasha, who is not content simply to hand over the cash but insists, in an unfortunate habit from her Hare Krishna days, on acting as a spiritual master."	26
0	It was argued in Chapter 2 that the criminal law ought to extend its application wider where the potential harm is greater.	14
0	"And sometimes non-standard discount is given, a task to deal with on the old system, but if you could add one extra input box on that screen there"	7
0	"JOHN SMITH, the deputy Chancellor, yesterday set the overriding tone for this week's Labour Party conference with a warning that he would impose tough spending controls if Labour won the next election."	3
0	"Mrs Bottomley's first big challenge as Health Secretary will come this summer with the annual public spending round, which will be conducted against a background of concern over high Government borrowing and pressure from the Tory Right for public spending cuts."	40
0	These influences laid the foundations for the blend of the naive and the sophisticated which is the characteristic feature of Thomson's maturity.	17
0	"As noted above, the work of Fedra( 1989) is a major step in this research and connections need to be made between initiatives in the UK and the rest of Europe."	14
0	"In contrast to our previous example we shall now investigate a cylindrical cylinder consisting of two kinds of charge carriers: negative electrons and some positive particles, which I do not wish to be more precise about at the moment."	12
0	"But, without other changes, the result is likely to be a society of isolated self-defence, and a steady decline of civil liberties."	18
0	"Moreover, the distinction between the various degrees would raise questions of law, which would provide much opportunity for legal argument and for appeals."	2
0	"But in the twelfth century, the family of Alsace could afford the high costs of their expeditions Thierry went to Jerusalem four times, Philip twice and the counts' repeated absences in fact promoted administrative reform; the baillis and the Grote Bref were as much the results of crusading as the English and Norman judicial system and exchequers were the product of the king-duke's divided attentions."	45
0	Er at this stage I don't think so to be honest with you because	3
0	"There were five miles of return tramping to the barrier but they, too, could wait awhile."	8
0	"The legend could not be taken seriously any longer in what had been, admittedly, a weak argument."	16
0	"I spoke to that was Monday night, yeah, she's been head of department, did I tell you that?"	10
0	"But the best answers are probably obtained where the functional characteristics of the fossil points to the same life habits as a living counterpart, and where both are consistent with the geological circumstances in which the fossil remains occur."	10
0	As both composer and critic he touched both aspects of the matter. A climate of receptivity is what the artist most desires.	11
0	The crowds were mainly pedestrians but the fundamental problem lay elsewhere.	4
0	In many districts it is asserted that the Unionist Press are treated with greater courtesy by the Radicals than by their own side.'	2
0	"This sombre tree like a defeated proud man contrasts, when considered in the nature of a living creature, with the pale bloom of a last rose on the fading bush in front of him"	21
0	"The opposite of a good businessman, Miranda said, still feeling euphoric"	10
0	"As Davies (1981) has pointed out, speech is the basic instrument of the social worker."	10
0	Normally routines are single sequence of instructions although it is possible to have some conditional branching.	4
0	burden like a heavy weight and get out of it.	0
0	Drink: Desire in search of a name: Do the French have the mot juste to describe the desire for a refreshing beverage?	3
0	"The 1964 Labour Government was elected on a surge of impatience at the slackening pace of social reform, but also of optimism that little more than economic growth, fuelled by technological change, was needed to remove the main causes of urban deprivation (MacGregor, 1981)."	8
0	Perhaps when they come back they've got six months you know they've got a month's work on their schedule	18
0	Shares in Avon Rubber have fallen sharply this year as a result of the weak demand for winter tyres and rights issue announcement to finance the expansion into US motor components.	26
0	It changed ownership recently and is now run by Stephen and Janet Errington.	2
0	"It will always be the case that the holder of my office will need to fight the requests of the health service and there will always, inevitably, be more than we can do."	17
0	"I asked you a question, dear darling"	6
0	Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his important speech tomorrow.	12
0	"They represent a time when either their goals were not the same as those of the official organization, or the CCO was not ambitious enough to suit them."	7
