label	sentence	w_index
0	"But in the twelfth century, the house of Alsace could afford the high costs of their expeditions Thierry went to Jerusalem four times, Philip twice and the counts' repeated absences in fact promoted administrative reform; the baillis and the Grote Bref were as much the products of crusading as the English and Norman judicial system and exchequers were the product of the king-duke's divided attentions."	13
0	Using plume models that predict the movement of contaminants she is able to intersect the results with data on current well locations and to assess which water supply areas are worst contaminated.	21
0	"Xavier Mellery, the painter of the nuns, was described in the catalogue as"" creating a light which is the negation of that which envelops our immediate visual experience of things; it is rather the Interior light of your mind'"	11
0	He held the gun pointed at my eyes.	3
0	"But also, as a doctor, she knew exactly what it was."	4
0	Mind you don't bang your head.	5
0	Sir: The contents of Sarah Helm's article Immigration checks to be made on trains( 25 September) are extremely worrying.	13
0	What do these requirements mean?	3
0	Joyriders used front lawns to practise their handbrake turns.	7
0	Somebody will likely have reported her missing.	0
0	"Two times four equals eight, right?"	1
0	"This was by no means an accident, since throughout the 1970s a powerful body of media, political, and academic opinion had been constructed around the theme of how Britain was drifting into a violent society, and how the basis of consent was being shifted by the pressures of immigration and the growth of multi-racial inner city areas."	38
0	Human-induced changes to the environment have increased rapidly as a consequence of growing population numbers and of numerous developments in technology.	1
0	"Research is in progress, however, to assess possible health effects of poor incineration( Diggle et al. 1990)."	9
0	"Two years ago, however, the Department of the Environment at last began the listing of post-war buildings in England that were more than 30 years old."	15
0	"Miranda felt that the aircraft was an extension of her arms and her fingertips, outspread in flight."	4
0	So much of its beauty had been stripped from it by the whipping winds.	4
0	The main components of the first system are well known: the atmosphere is its engine and atmospheric circulation is driven by differences in solar heating between the equatorial and polar regions.	11
0	"The character of the rocks, and their setting in the past geography at the time when they accumulated, diagnoses the climatic setting in which the extinct fauna lived, and climate imposes certain restraints on possible modes of life."	29
0	"First, it distanced the riots from the social, economic, political, and other grievances which had been linked to them by locating the cause outside the social problems of inner-city dwellers and in the simple greed of the drug barons to accumulate loot."	28
0	"Nell would never rest until she could get closer to confirm her worst suspicions, and paradoxically it was the woman in her that provided the intensity of emotion that would let nothing stand in her way."	27
0	Because of their early contact with parents they often had considerable influence in steering parents towards specialist provision.	6
0	"Handsworth, for example, was presented even shortly before September 1985 as a success story in terms of police community relations."	19
0	"The travelling chaos of a modern party leader's election entourage had carried Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership."	33
0	"In 1983 the Home Secretary imposed restrictions on the release of persons serving life for murders of police- and prison-officers, terrorist killings, murder during robbery, and the sadistic or sexual murder of young children, fixing a minimum of twenty years' imprisonment for these offenders."	17
0	"Allocation determines which arcs in the network will be allocated to a particular node or centre; districting makes it possible to outline rapidly sets of polygons in order to define specific areas of interest( districts) and to summarize their characteristics; routeing provides a minimum path algorithm through the network, the arcs of which can be assigned weights according to road conditions, road capacity and so on."	6
0	"Cos we it's a long, long way to Jo's and just to go, right all that way for two nights would not really be worth it."	19
0	"Ellen, unencumbered with luggage, had already reached Wavebreaker and taken two plastic fenders from a locker."	15
0	"Now the winter salon at Saracen, where Elinor waited for Adam, was not only the coolest but the most impressive room in the chÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½teau."	3
0	"Their protagonists argue that the law of murder is so important socially that derogation from the principle of maximum certainty should be allowed in favour of more accurate labelling by the courts; opponents argue that the principle of maximum certainty is needed here specifically to reduce the risk of verdicts based on discriminatory or irrelevant factors, such as distaste for the defendant's background, allegiance, or other activities."	24
0	Say something sensible.	1
