index	label	sentence	POS	w_index	target	word_sense	definition	metaphor_flag	target_domain	tenor
ew1-fragment01 127	1	"The struggle therefore went on to keep the Unionist press alive, and in 1912 and 1913 both Aitken and Northcliffe stood by the party and gave valuable support in their papers."	NOUN	1	struggle	to exert strenuous effort against opposition	A contortion of the body in an attempt to escape or to perform a difficult task.	1	battle	the ongoing effort to maintain the Unionist press despite challenges
a1h-fragment05 92	1	"He started by writing occasional articles but in 1939 he wrote The State of Music, a trenchant and provocative assessment of the machinery of the musical profession at the time."	NOUN	22	machinery	machines or machine systems collectively	"The machines constituting a production apparatus, in a plant etc., collectively."	1	machinery	the systematic and operational structure of the musical profession
as6-fragment01 38	1	"And he concludes, of all the warnings that the inner city has to offer for the direction British society is taking, this is perhaps the most sinister."	NOUN	16	direction	the spatial relation between something and the course along which it points or moves	"A theoretical line  followed from a point of origin or towards a destination. May be relative , geographical , rotational , or with respect to an object or location ."	1	path	the future development or trajectory of British society
cb5-fragment02 3297	1	The heart had gone out of the day.	NOUN	1	heart	an area that is approximately central within some larger region	"A muscular organ that pumps blood through the body, traditionally thought to be the seat of emotion."	1	heart	vitality or emotional core of the day
a1x-fragment04 166	1	"Zinc is the latest: lack of it supposedly causes a range of problems, although little scientific evidence supports the link."	NOUN	19	link.	"connect, fasten, or put together two or more pieces"	"A connection between places, people, events, things, or ideas."	1	chain	a connection between zinc deficiency and health problems
as6-fragment01 28	1	"Harrison describes( p. 369) the way in which the inner urban powder-keg leads to a vicious circle, with many victims, but few individual villains:"	NOUN	16	"circle,"	"circle,"	"A two-dimensional geometric figure, a line, consisting of the set of all those points in a plane that are equally distant from a given point ."	1	cycle	a self-perpetuating situation where problems or conflicts continuously reinforce each other
a6u-fragment02 192	1	"While Elle, Vogue and subsequently The Independent( Fig. 5), stressed different facets of Kahlo's public persona, they all shared the emphasis on her, as an encapsulisation of stereotypical images of Mexico, rather than her work."	NOUN	11	facets	a distinct feature or element in a problem	Any one of the flat surfaces cut into a gem.	1	gem	distinct features or elements of Kahlo's public persona
fet-fragment01 220	1	"' One of the most beautiful things done by the painters of this country has been the painting of black which nevertheless has light in it,' Vincent had written from Holland."	NOUN	23	light	characterized by or emitting light	"Visible electromagnetic radiation. The human eye can typically detect radiation  in the wavelength range of about 400 to 750 nanometers. Nearby shorter and longer wavelength ranges, although not visible, are commonly called ultraviolet and infrared light."	1	illumination	hope or spiritual brightness
amm-fragment02 1768	1	The balance of evidence seems to be swinging away from the original idea of swamp-dwelling giant dinosaurs to fully terrestrial habits.	NOUN	1	balance	a state of equilibrium	A state in which opposing forces harmonise; equilibrium.	1	scale	the overall weight or preponderance of evidence
as6-fragment01 3	1	The essays in this book do not amount to a programme: but they are intended to provide a springboard for one.	NOUN	18	springboard	springboard	"A diving board consisting of a flexible, springy, cantilevered platform, used for diving into water."	1	springboard	a starting point or catalyst for developing a programme
a1n-fragment18 368	1	Chelsea might have won had the ball not kept turning into a Mexican bean at Kerry Dixon's feet.	NOUN	13	bean	any of various seeds or fruits that are beans or resemble beans	Any plant of several genera of the taxonomic family Fabaceae that produces large edible seeds or edible seedpods.	1	bean	an unpredictable or difficult-to-control object (the ball behaving erratically)
a8u-fragment14 357	1	Properties continued to shine as British Land produced a complicated scheme to release the value of its property portfolio.	NOUN	18	portfolio.	a set of pieces of creative work collected to be shown to potential customers or employers	"A case for carrying papers, drawings, photographs, maps and other flat documents."	1	collection	property holdings or real estate assets
clp-fragment01 812	1	"This not only provides flexibility in the use of man-power, it also improves communication."	NOUN	4	flexibility	the property of being flexible; easily bent or shaped	The quality of being flexible; suppleness; pliability.	1	material	adaptability in resource allocation
c8t-fragment01 116	1	"The faces of the twins, softer editions of her own, turned towards her questioningly then broke into shy smiles."	NOUN	6	editions	the form in which a text (especially a printed book) is published	"A written work edited and published, as by a certain editor or in a certain manner."	1	book	versions or variations of the twins' faces compared to her own
as6-fragment01 18	1	"Meanwhile, in many parts of the country, a problem as old as cities themselves tension between cultural groups, between earlier immigrants and newer ones, between black, brown, and white, and( increasingly) between large sections of urban youth and the police came to be identified as the key inner-city issue."	NOUN	33	sections	a self-contained part of a larger composition (written or musical)	A cutting; a part cut out from the rest of something.	1	cutting	distinct groups within urban youth population
